gt_id,startts,endts,mac_fix,sn_fix,software_version_fix,ioboard_fix
1,2019-06-02 00:17:50,2019-06-02 00:17:57,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-02 00:17:30,2019-06-02 00:17:35,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-02 00:17:05,2019-06-02 00:17:08,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-02 00:18:51,2019-06-02 00:18:56,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-02 00:18:35,2019-06-02 00:18:41,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-02 00:18:06,2019-06-02 00:18:11,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-02 00:19:59,2019-06-02 00:20:02,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-02 00:19:43,2019-06-02 00:19:52,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-02 00:19:13,2019-06-02 00:19:17,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-02 00:20:59,2019-06-02 00:21:02,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-02 00:20:52,2019-06-02 00:21:01,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-02 00:20:17,2019-06-02 00:20:22,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-02 00:22:04,2019-06-02 00:22:08,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-02 00:22:00,2019-06-02 00:22:10,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-02 00:21:25,2019-06-02 00:21:28,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-02 00:23:14,2019-06-02 00:23:16,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-02 00:23:04,2019-06-02 00:23:11,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-02 00:22:26,2019-06-02 00:22:34,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-02 00:24:17,2019-06-02 00:24:17,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-02 00:24:14,2019-06-02 00:24:20,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-02 00:23:34,2019-06-02 00:23:36,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-02 00:25:17,2019-06-02 00:25:23,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-02 00:25:22,2019-06-02 00:25:24,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-02 00:24:35,2019-06-02 00:24:37,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-02 00:26:25,2019-06-02 00:26:31,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-02 00:26:30,2019-06-02 00:26:37,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-02 00:25:40,2019-06-02 00:25:43,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-02 00:27:27,2019-06-02 00:27:29,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-02 00:27:39,2019-06-02 00:27:46,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-02 00:26:47,2019-06-02 00:26:53,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-02 00:28:34,2019-06-02 00:28:42,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-02 00:28:45,2019-06-02 00:28:51,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-02 00:27:54,2019-06-02 00:27:56,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-02 00:29:38,2019-06-02 00:29:46,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-02 00:29:51,2019-06-02 00:29:59,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-02 00:29:01,2019-06-02 00:29:06,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-02 00:30:45,2019-06-02 00:30:49,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-02 00:30:52,2019-06-02 00:30:57,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-02 00:30:07,2019-06-02 00:30:14,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-02 00:31:48,2019-06-02 00:31:51,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-02 00:31:55,2019-06-02 00:31:59,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-02 00:31:12,2019-06-02 00:31:18,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-02 00:32:56,2019-06-02 00:33:02,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-02 00:33:03,2019-06-02 00:33:11,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-02 00:32:17,2019-06-02 00:32:18,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-02 00:33:59,2019-06-02 00:34:00,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-02 00:34:11,2019-06-02 00:34:16,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-02 00:33:23,2019-06-02 00:33:30,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-02 00:35:04,2019-06-02 00:35:11,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-02 00:35:13,2019-06-02 00:35:17,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-02 00:34:27,2019-06-02 00:34:34,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-02 00:36:10,2019-06-02 00:36:12,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-02 00:36:15,2019-06-02 00:36:19,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-02 00:35:30,2019-06-02 00:35:33,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-02 00:37:15,2019-06-02 00:37:16,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-02 00:37:20,2019-06-02 00:37:27,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-02 00:36:35,2019-06-02 00:36:38,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-02 00:38:22,2019-06-02 00:38:31,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-02 00:38:20,2019-06-02 00:38:21,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-02 00:37:39,2019-06-02 00:37:39,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-02 00:39:24,2019-06-02 00:39:29,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-02 00:39:26,2019-06-02 00:39:35,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-02 00:38:39,2019-06-02 00:38:48,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-02 00:40:33,2019-06-02 00:40:42,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-02 00:40:33,2019-06-02 00:40:38,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-02 00:39:41,2019-06-02 00:39:47,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-02 00:41:34,2019-06-02 00:41:39,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-02 00:41:40,2019-06-02 00:41:40,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-02 00:40:49,2019-06-02 00:40:52,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-02 00:42:35,2019-06-02 00:42:37,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-02 00:42:49,2019-06-02 00:42:54,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-02 00:41:55,2019-06-02 00:41:57,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-02 00:43:40,2019-06-02 00:43:49,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-02 00:43:53,2019-06-02 00:43:55,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-02 00:43:03,2019-06-02 00:43:13,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-02 00:44:47,2019-06-02 00:44:54,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-02 00:44:55,2019-06-02 00:45:01,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-02 00:44:06,2019-06-02 00:44:12,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-02 00:45:48,2019-06-02 00:45:56,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-02 00:45:59,2019-06-02 00:46:05,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-02 00:45:10,2019-06-02 00:45:20,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-02 00:46:54,2019-06-02 00:47:02,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-02 00:47:04,2019-06-02 00:47:05,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-02 00:46:18,2019-06-02 00:46:24,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-02 00:48:03,2019-06-02 00:48:08,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-02 00:48:06,2019-06-02 00:48:10,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-02 00:47:28,2019-06-02 00:47:32,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-02 00:49:11,2019-06-02 00:49:17,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-02 00:49:09,2019-06-02 00:49:17,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-02 00:48:37,2019-06-02 00:48:43,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-02 00:50:12,2019-06-02 00:50:21,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-02 00:50:13,2019-06-02 00:50:15,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-02 00:49:39,2019-06-02 00:49:44,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-02 00:51:21,2019-06-02 00:51:23,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-02 00:51:14,2019-06-02 00:51:22,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-02 00:50:44,2019-06-02 00:50:53,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-02 00:52:23,2019-06-02 00:52:32,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-02 00:52:18,2019-06-02 00:52:26,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-02 00:51:53,2019-06-02 00:51:53,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-02 00:53:32,2019-06-02 00:53:34,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-02 00:53:25,2019-06-02 00:53:25,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-02 00:52:56,2019-06-02 00:53:02,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-02 00:54:42,2019-06-02 00:54:48,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-02 00:54:30,2019-06-02 00:54:39,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-02 00:53:59,2019-06-02 00:54:07,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-02 00:55:43,2019-06-02 00:55:50,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-02 00:55:31,2019-06-02 00:55:38,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-02 00:55:06,2019-06-02 00:55:09,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-02 00:56:48,2019-06-02 00:56:54,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-02 00:56:41,2019-06-02 00:56:42,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-02 00:56:09,2019-06-02 00:56:17,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-02 00:57:55,2019-06-02 00:58:00,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-02 00:57:48,2019-06-02 00:57:57,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
3,2019-06-02 00:57:18,2019-06-02 00:57:20,94:af:c3:38:a6:89,7.2.000003,1.0.0,3
1,2019-06-02 00:58:55,2019-06-02 00:59:01,02:69:88:67:a4:d7,7.2.000001,1.0.0,3
2,2019-06-02 00:58:54,2019-06-02 00:59:00,58:9a:29:28:2a:4a,7.2.000002,1.0.0,3
