gt_id,st_id,startts,endts,porterror,host_fix,port_fix,name_fix,serialno_fix,fwversion_fix,comparator_fix,devider_fix,rawpulsescounter_fix,error,stringvoltage,stringcurrent,temperature,totalwh
1,1,2019-06-01 23:34:19,2019-06-01 23:34:22,null,127.0.0.1,10002,1-String-C,1112,2.33,9,0,7270,null,257,0.626,55.0,123844495
1,2,2019-06-01 23:34:19,2019-06-01 23:34:22,null,127.0.0.1,10002,1-String-C,1113,2.33,9,0,7270,null,447,1.312,67.0,123845789
1,3,2019-06-01 23:34:19,2019-06-01 23:34:22,null,127.0.0.1,10002,1-String-C,1114,2.33,9,0,7270,null,71,0.488,46.0,123844948
1,4,2019-06-01 23:34:19,2019-06-01 23:34:22,null,127.0.0.1,10002,1-String-C,1115,2.33,9,0,7270,null,75,2.277,37.0,123844687
1,5,2019-06-01 23:34:19,2019-06-01 23:34:22,null,127.0.0.1,10002,1-String-C,1116,2.33,9,0,7270,null,269,1.155,58.0,123845337
2,6,2019-06-01 23:34:23,2019-06-01 23:34:28,null,127.0.0.1,10002,1-String-C,1117,2.33,9,0,7270,null,46,2.054,20.0,123845457
2,7,2019-06-01 23:34:23,2019-06-01 23:34:28,null,127.0.0.1,10002,1-String-C,1118,2.33,9,0,7270,null,266,3.192,47.0,123845094
2,8,2019-06-01 23:34:23,2019-06-01 23:34:28,null,127.0.0.1,10002,1-String-C,1119,2.33,9,0,7270,null,105,1.727,56.0,123844075
2,9,2019-06-01 23:34:23,2019-06-01 23:34:28,null,127.0.0.1,10002,1-String-C,1120,2.33,9,0,7270,null,318,1.265,52.0,123845605
2,10,2019-06-01 23:34:23,2019-06-01 23:34:28,null,127.0.0.1,10002,1-String-C,1121,2.33,9,0,7270,null,544,3.796,51.0,123844839
3,11,2019-06-01 23:34:21,2019-06-01 23:34:22,null,127.0.0.1,10002,1-String-C,1122,2.33,9,0,7270,null,824,4.192,26.0,123845014
3,12,2019-06-01 23:34:21,2019-06-01 23:34:22,null,127.0.0.1,10002,1-String-C,1123,2.33,9,0,7270,null,912,2.688,52.0,123845309
3,13,2019-06-01 23:34:21,2019-06-01 23:34:22,null,127.0.0.1,10002,1-String-C,1124,2.33,9,0,7270,null,462,3.8309999,50.0,123844752
3,14,2019-06-01 23:34:21,2019-06-01 23:34:22,null,127.0.0.1,10002,1-String-C,1125,2.33,9,0,7270,null,874,4.748,54.0,123845000
3,15,2019-06-01 23:34:21,2019-06-01 23:34:22,null,127.0.0.1,10002,1-String-C,1126,2.33,9,0,7270,null,163,2.687,50.0,123845442
1,1,2019-06-01 23:35:21,2019-06-01 23:35:28,null,127.0.0.1,10002,1-String-C,1112,2.33,9,0,7270,null,670,4.4309998,20.0,123846016
1,2,2019-06-01 23:35:21,2019-06-01 23:35:28,null,127.0.0.1,10002,1-String-C,1113,2.33,9,0,7270,null,435,2.639,52.0,123847148
1,3,2019-06-01 23:35:21,2019-06-01 23:35:28,null,127.0.0.1,10002,1-String-C,1114,2.33,9,0,7270,null,329,4.768,65.0,123846899
1,4,2019-06-01 23:35:21,2019-06-01 23:35:28,null,127.0.0.1,10002,1-String-C,1115,2.33,9,0,7270,null,792,1.836,52.0,123846663
1,5,2019-06-01 23:35:21,2019-06-01 23:35:28,null,127.0.0.1,10002,1-String-C,1116,2.33,9,0,7270,null,319,0.3,31.0,123846698
2,6,2019-06-01 23:35:28,2019-06-01 23:35:33,null,127.0.0.1,10002,1-String-C,1117,2.33,9,0,7270,null,718,0.663,22.0,123847264
2,7,2019-06-01 23:35:28,2019-06-01 23:35:33,null,127.0.0.1,10002,1-String-C,1118,2.33,9,0,7270,null,363,2.8270001,45.0,123847000
2,8,2019-06-01 23:35:28,2019-06-01 23:35:33,null,127.0.0.1,10002,1-String-C,1119,2.33,9,0,7270,null,818,0.216,57.0,123845876
2,9,2019-06-01 23:35:28,2019-06-01 23:35:33,null,127.0.0.1,10002,1-String-C,1120,2.33,9,0,7270,null,67,0.015,58.0,123847333
2,10,2019-06-01 23:35:28,2019-06-01 23:35:33,null,127.0.0.1,10002,1-String-C,1121,2.33,9,0,7270,null,655,4.378,57.0,123846083
3,11,2019-06-01 23:35:29,2019-06-01 23:35:31,null,127.0.0.1,10002,1-String-C,1122,2.33,9,0,7270,null,380,1.076,35.0,123846364
3,12,2019-06-01 23:35:29,2019-06-01 23:35:31,null,127.0.0.1,10002,1-String-C,1123,2.33,9,0,7270,null,554,1.819,50.0,123846462
3,13,2019-06-01 23:35:29,2019-06-01 23:35:31,null,127.0.0.1,10002,1-String-C,1124,2.33,9,0,7270,null,399,4.308,26.0,123846326
3,14,2019-06-01 23:35:29,2019-06-01 23:35:31,null,127.0.0.1,10002,1-String-C,1125,2.33,9,0,7270,null,406,4.043,38.0,123846329
3,15,2019-06-01 23:35:29,2019-06-01 23:35:31,null,127.0.0.1,10002,1-String-C,1126,2.33,9,0,7270,null,369,2.168,54.0,123846761
1,1,2019-06-01 23:36:21,2019-06-01 23:36:24,null,127.0.0.1,10002,1-String-C,1112,2.33,9,0,7270,null,924,1.439,44.0,123847445
1,2,2019-06-01 23:36:21,2019-06-01 23:36:24,null,127.0.0.1,10002,1-String-C,1113,2.33,9,0,7270,null,311,1.365,22.0,123848762
1,3,2019-06-01 23:36:21,2019-06-01 23:36:24,null,127.0.0.1,10002,1-String-C,1114,2.33,9,0,7270,null,990,3.766,28.0,123848417
1,4,2019-06-01 23:36:21,2019-06-01 23:36:24,null,127.0.0.1,10002,1-String-C,1115,2.33,9,0,7270,null,569,0.464,34.0,123847875
1,5,2019-06-01 23:36:21,2019-06-01 23:36:24,null,127.0.0.1,10002,1-String-C,1116,2.33,9,0,7270,null,295,3.255,25.0,123848267
2,6,2019-06-01 23:36:33,2019-06-01 23:36:42,null,127.0.0.1,10002,1-String-C,1117,2.33,9,0,7270,null,441,3.025,36.0,123848476
2,7,2019-06-01 23:36:33,2019-06-01 23:36:42,null,127.0.0.1,10002,1-String-C,1118,2.33,9,0,7270,null,362,3.835,47.0,123848299
2,8,2019-06-01 23:36:33,2019-06-01 23:36:42,null,127.0.0.1,10002,1-String-C,1119,2.33,9,0,7270,null,5,0.062,62.0,123847850
2,9,2019-06-01 23:36:33,2019-06-01 23:36:42,null,127.0.0.1,10002,1-String-C,1120,2.33,9,0,7270,null,580,0.086,59.0,123848730
2,10,2019-06-01 23:36:33,2019-06-01 23:36:42,null,127.0.0.1,10002,1-String-C,1121,2.33,9,0,7270,null,814,3.196,67.0,123847661
3,11,2019-06-01 23:36:33,2019-06-01 23:36:33,null,127.0.0.1,10002,1-String-C,1122,2.33,9,0,7270,null,62,3.47,34.0,123847641
3,12,2019-06-01 23:36:33,2019-06-01 23:36:33,null,127.0.0.1,10002,1-String-C,1123,2.33,9,0,7270,null,904,4.7469997,56.0,123848286
3,13,2019-06-01 23:36:33,2019-06-01 23:36:33,null,127.0.0.1,10002,1-String-C,1124,2.33,9,0,7270,null,127,0.975,57.0,123847394
3,14,2019-06-01 23:36:33,2019-06-01 23:36:33,null,127.0.0.1,10002,1-String-C,1125,2.33,9,0,7270,null,591,2.328,22.0,123848110
3,15,2019-06-01 23:36:33,2019-06-01 23:36:33,null,127.0.0.1,10002,1-String-C,1126,2.33,9,0,7270,null,565,0.322,62.0,123848316
1,1,2019-06-01 23:37:30,2019-06-01 23:37:31,null,127.0.0.1,10002,1-String-C,1112,2.33,9,0,7270,null,698,1.449,66.0,123849291
1,2,2019-06-01 23:37:30,2019-06-01 23:37:31,null,127.0.0.1,10002,1-String-C,1113,2.33,9,0,7270,null,658,4.412,68.0,123849891
1,3,2019-06-01 23:37:30,2019-06-01 23:37:31,null,127.0.0.1,10002,1-String-C,1114,2.33,9,0,7270,null,743,4.478,54.0,123849630
1,4,2019-06-01 23:37:30,2019-06-01 23:37:31,null,127.0.0.1,10002,1-String-C,1115,2.33,9,0,7270,null,56,2.991,47.0,123849184
1,5,2019-06-01 23:37:30,2019-06-01 23:37:31,null,127.0.0.1,10002,1-String-C,1116,2.33,9,0,7270,null,839,1.039,55.0,123849667
2,6,2019-06-01 23:37:33,2019-06-01 23:37:40,null,127.0.0.1,10002,1-String-C,1117,2.33,9,0,7270,null,533,3.247,52.0,123850096
2,7,2019-06-01 23:37:33,2019-06-01 23:37:40,null,127.0.0.1,10002,1-String-C,1118,2.33,9,0,7270,null,701,1.6700001,61.0,123849663
2,8,2019-06-01 23:37:33,2019-06-01 23:37:40,null,127.0.0.1,10002,1-String-C,1119,2.33,9,0,7270,null,853,2.603,26.0,123849802
2,9,2019-06-01 23:37:33,2019-06-01 23:37:40,null,127.0.0.1,10002,1-String-C,1120,2.33,9,0,7270,null,158,4.446,47.0,123850018
2,10,2019-06-01 23:37:33,2019-06-01 23:37:40,null,127.0.0.1,10002,1-String-C,1121,2.33,9,0,7270,null,200,2.648,23.0,123849034
3,11,2019-06-01 23:37:36,2019-06-01 23:37:41,null,127.0.0.1,10002,1-String-C,1122,2.33,9,0,7270,null,449,4.018,31.0,123849229
3,12,2019-06-01 23:37:36,2019-06-01 23:37:41,null,127.0.0.1,10002,1-String-C,1123,2.33,9,0,7270,null,979,2.138,50.0,123849629
3,13,2019-06-01 23:37:36,2019-06-01 23:37:41,null,127.0.0.1,10002,1-String-C,1124,2.33,9,0,7270,null,341,4.044,32.0,123849075
3,14,2019-06-01 23:37:36,2019-06-01 23:37:41,null,127.0.0.1,10002,1-String-C,1125,2.33,9,0,7270,null,180,4.104,57.0,123850063
3,15,2019-06-01 23:37:36,2019-06-01 23:37:41,null,127.0.0.1,10002,1-String-C,1126,2.33,9,0,7270,null,196,1.86,23.0,123850164
1,1,2019-06-01 23:38:34,2019-06-01 23:38:34,null,127.0.0.1,10002,1-String-C,1112,2.33,9,0,7270,null,11,2.935,56.0,123850870
1,2,2019-06-01 23:38:34,2019-06-01 23:38:34,null,127.0.0.1,10002,1-String-C,1113,2.33,9,0,7270,null,975,0.277,37.0,123851833
1,3,2019-06-01 23:38:34,2019-06-01 23:38:34,null,127.0.0.1,10002,1-String-C,1114,2.33,9,0,7270,null,704,1.326,34.0,123850687
1,4,2019-06-01 23:38:34,2019-06-01 23:38:34,null,127.0.0.1,10002,1-String-C,1115,2.33,9,0,7270,null,808,3.092,57.0,123850785
1,5,2019-06-01 23:38:34,2019-06-01 23:38:34,null,127.0.0.1,10002,1-String-C,1116,2.33,9,0,7270,null,666,3.852,32.0,123851421
2,6,2019-06-01 23:38:42,2019-06-01 23:38:49,null,127.0.0.1,10002,1-String-C,1117,2.33,9,0,7270,null,586,4.949,23.0,123851449
2,7,2019-06-01 23:38:42,2019-06-01 23:38:49,null,127.0.0.1,10002,1-String-C,1118,2.33,9,0,7270,null,650,3.9689999,53.0,123851406
2,8,2019-06-01 23:38:42,2019-06-01 23:38:49,null,127.0.0.1,10002,1-String-C,1119,2.33,9,0,7270,null,642,3.532,26.0,123851370
2,9,2019-06-01 23:38:42,2019-06-01 23:38:49,null,127.0.0.1,10002,1-String-C,1120,2.33,9,0,7270,null,108,0.654,60.0,123851257
2,10,2019-06-01 23:38:42,2019-06-01 23:38:49,null,127.0.0.1,10002,1-String-C,1121,2.33,9,0,7270,null,677,3.21,49.0,123850811
3,11,2019-06-01 23:38:42,2019-06-01 23:38:43,null,127.0.0.1,10002,1-String-C,1122,2.33,9,0,7270,null,224,2.456,46.0,123850987
3,12,2019-06-01 23:38:42,2019-06-01 23:38:43,null,127.0.0.1,10002,1-String-C,1123,2.33,9,0,7270,null,10,1.506,31.0,123850713
3,13,2019-06-01 23:38:42,2019-06-01 23:38:43,null,127.0.0.1,10002,1-String-C,1124,2.33,9,0,7270,null,32,3.896,63.0,123850083
3,14,2019-06-01 23:38:42,2019-06-01 23:38:43,null,127.0.0.1,10002,1-String-C,1125,2.33,9,0,7270,null,474,3.029,58.0,123851712
3,15,2019-06-01 23:38:42,2019-06-01 23:38:43,null,127.0.0.1,10002,1-String-C,1126,2.33,9,0,7270,null,103,3.532,44.0,123851794
1,1,2019-06-01 23:39:43,2019-06-01 23:39:47,null,127.0.0.1,10002,1-String-C,1112,2.33,9,0,7270,null,834,3.771,51.0,123852162
1,2,2019-06-01 23:39:43,2019-06-01 23:39:47,null,127.0.0.1,10002,1-String-C,1113,2.33,9,0,7270,null,29,2.142,62.0,123853251
1,3,2019-06-01 23:39:43,2019-06-01 23:39:47,null,127.0.0.1,10002,1-String-C,1114,2.33,9,0,7270,null,757,0.93,45.0,123852681
1,4,2019-06-01 23:39:43,2019-06-01 23:39:47,null,127.0.0.1,10002,1-String-C,1115,2.33,9,0,7270,null,698,1.792,57.0,123852274
1,5,2019-06-01 23:39:43,2019-06-01 23:39:47,null,127.0.0.1,10002,1-String-C,1116,2.33,9,0,7270,null,391,4.522,44.0,123853100
2,6,2019-06-01 23:39:50,2019-06-01 23:39:57,null,127.0.0.1,10002,1-String-C,1117,2.33,9,0,7270,null,453,0.666,28.0,123852523
2,7,2019-06-01 23:39:50,2019-06-01 23:39:57,null,127.0.0.1,10002,1-String-C,1118,2.33,9,0,7270,null,548,4.231,61.0,123852995
2,8,2019-06-01 23:39:50,2019-06-01 23:39:57,null,127.0.0.1,10002,1-String-C,1119,2.33,9,0,7270,null,274,1.533,51.0,123852638
2,9,2019-06-01 23:39:50,2019-06-01 23:39:57,null,127.0.0.1,10002,1-String-C,1120,2.33,9,0,7270,null,174,0.999,50.0,123852405
2,10,2019-06-01 23:39:50,2019-06-01 23:39:57,null,127.0.0.1,10002,1-String-C,1121,2.33,9,0,7270,null,50,4.7200003,21.0,123852300
3,11,2019-06-01 23:39:52,2019-06-01 23:39:56,null,127.0.0.1,10002,1-String-C,1122,2.33,9,0,7270,null,134,3.291,59.0,123852112
3,12,2019-06-01 23:39:52,2019-06-01 23:39:56,null,127.0.0.1,10002,1-String-C,1123,2.33,9,0,7270,null,962,0.188,56.0,123852603
3,13,2019-06-01 23:39:52,2019-06-01 23:39:56,null,127.0.0.1,10002,1-String-C,1124,2.33,9,0,7270,null,908,0.509,45.0,123851180
3,14,2019-06-01 23:39:52,2019-06-01 23:39:56,null,127.0.0.1,10002,1-String-C,1125,2.33,9,0,7270,null,639,4.51,62.0,123853171
3,15,2019-06-01 23:39:52,2019-06-01 23:39:56,null,127.0.0.1,10002,1-String-C,1126,2.33,9,0,7270,null,843,3.766,57.0,123853701
1,1,2019-06-01 23:40:43,2019-06-01 23:40:45,null,127.0.0.1,10002,1-String-C,1112,2.33,9,0,7270,null,563,2.02,51.0,123853321
1,2,2019-06-01 23:40:43,2019-06-01 23:40:45,null,127.0.0.1,10002,1-String-C,1113,2.33,9,0,7270,null,541,0.648,55.0,123854310
1,3,2019-06-01 23:40:43,2019-06-01 23:40:45,null,127.0.0.1,10002,1-String-C,1114,2.33,9,0,7270,null,83,1.937,46.0,123853941
1,4,2019-06-01 23:40:43,2019-06-01 23:40:45,null,127.0.0.1,10002,1-String-C,1115,2.33,9,0,7270,null,337,0.583,36.0,123853633
1,5,2019-06-01 23:40:43,2019-06-01 23:40:45,null,127.0.0.1,10002,1-String-C,1116,2.33,9,0,7270,null,253,2.249,24.0,123854240
2,6,2019-06-01 23:40:59,2019-06-01 23:41:03,null,127.0.0.1,10002,1-String-C,1117,2.33,9,0,7270,null,121,1.082,49.0,123854182
2,7,2019-06-01 23:40:59,2019-06-01 23:41:03,null,127.0.0.1,10002,1-String-C,1118,2.33,9,0,7270,null,494,1.349,30.0,123854185
2,8,2019-06-01 23:40:59,2019-06-01 23:41:03,null,127.0.0.1,10002,1-String-C,1119,2.33,9,0,7270,null,656,4.223,68.0,123854553
2,9,2019-06-01 23:40:59,2019-06-01 23:41:03,null,127.0.0.1,10002,1-String-C,1120,2.33,9,0,7270,null,36,1.452,38.0,123854341
2,10,2019-06-01 23:40:59,2019-06-01 23:41:03,null,127.0.0.1,10002,1-String-C,1121,2.33,9,0,7270,null,765,1.77,26.0,123853312
3,11,2019-06-01 23:41:01,2019-06-01 23:41:02,null,127.0.0.1,10002,1-String-C,1122,2.33,9,0,7270,null,620,3.413,30.0,123853505
3,12,2019-06-01 23:41:01,2019-06-01 23:41:02,null,127.0.0.1,10002,1-String-C,1123,2.33,9,0,7270,null,317,4.248,59.0,123854576
3,13,2019-06-01 23:41:01,2019-06-01 23:41:02,null,127.0.0.1,10002,1-String-C,1124,2.33,9,0,7270,null,238,4.42,55.0,123852928
3,14,2019-06-01 23:41:01,2019-06-01 23:41:02,null,127.0.0.1,10002,1-String-C,1125,2.33,9,0,7270,null,410,2.356,40.0,123854173
3,15,2019-06-01 23:41:01,2019-06-01 23:41:02,null,127.0.0.1,10002,1-String-C,1126,2.33,9,0,7270,null,812,0.849,33.0,123855572
1,1,2019-06-01 23:41:46,2019-06-01 23:41:47,null,127.0.0.1,10002,1-String-C,1112,2.33,9,0,7270,null,175,3.57,21.0,123855237
1,2,2019-06-01 23:41:46,2019-06-01 23:41:47,null,127.0.0.1,10002,1-String-C,1113,2.33,9,0,7270,null,118,3.5,27.0,123856137
1,3,2019-06-01 23:41:46,2019-06-01 23:41:47,null,127.0.0.1,10002,1-String-C,1114,2.33,9,0,7270,null,457,4.389,68.0,123855684
1,4,2019-06-01 23:41:46,2019-06-01 23:41:47,null,127.0.0.1,10002,1-String-C,1115,2.33,9,0,7270,null,702,3.99,54.0,123855499
1,5,2019-06-01 23:41:46,2019-06-01 23:41:47,null,127.0.0.1,10002,1-String-C,1116,2.33,9,0,7270,null,330,4.255,54.0,123855524
2,6,2019-06-01 23:42:06,2019-06-01 23:42:13,null,127.0.0.1,10002,1-String-C,1117,2.33,9,0,7270,null,736,3.422,63.0,123855651
2,7,2019-06-01 23:42:06,2019-06-01 23:42:13,null,127.0.0.1,10002,1-String-C,1118,2.33,9,0,7270,null,298,2.34,62.0,123855814
2,8,2019-06-01 23:42:06,2019-06-01 23:42:13,null,127.0.0.1,10002,1-String-C,1119,2.33,9,0,7270,null,165,0.06,65.0,123855863
2,9,2019-06-01 23:42:06,2019-06-01 23:42:13,null,127.0.0.1,10002,1-String-C,1120,2.33,9,0,7270,null,903,3.363,41.0,123856093
2,10,2019-06-01 23:42:06,2019-06-01 23:42:13,null,127.0.0.1,10002,1-String-C,1121,2.33,9,0,7270,null,828,0.962,29.0,123855169
3,11,2019-06-01 23:42:04,2019-06-01 23:42:05,null,127.0.0.1,10002,1-String-C,1122,2.33,9,0,7270,null,225,1.885,21.0,123855497
3,12,2019-06-01 23:42:04,2019-06-01 23:42:05,null,127.0.0.1,10002,1-String-C,1123,2.33,9,0,7270,null,576,3.185,64.0,123856319
3,13,2019-06-01 23:42:04,2019-06-01 23:42:05,null,127.0.0.1,10002,1-String-C,1124,2.33,9,0,7270,null,217,1.531,22.0,123853939
3,14,2019-06-01 23:42:04,2019-06-01 23:42:05,null,127.0.0.1,10002,1-String-C,1125,2.33,9,0,7270,null,193,3.47,62.0,123855312
3,15,2019-06-01 23:42:04,2019-06-01 23:42:05,null,127.0.0.1,10002,1-String-C,1126,2.33,9,0,7270,null,991,4.502,39.0,123856838
1,1,2019-06-01 23:42:46,2019-06-01 23:42:54,null,127.0.0.1,10002,1-String-C,1112,2.33,9,0,7270,null,917,1.001,60.0,123856470
1,2,2019-06-01 23:42:46,2019-06-01 23:42:54,null,127.0.0.1,10002,1-String-C,1113,2.33,9,0,7270,null,587,0.072,31.0,123858052
1,3,2019-06-01 23:42:46,2019-06-01 23:42:54,null,127.0.0.1,10002,1-String-C,1114,2.33,9,0,7270,null,893,4.192,25.0,123857605
1,4,2019-06-01 23:42:46,2019-06-01 23:42:54,null,127.0.0.1,10002,1-String-C,1115,2.33,9,0,7270,null,896,2.001,20.0,123857135
1,5,2019-06-01 23:42:46,2019-06-01 23:42:54,null,127.0.0.1,10002,1-String-C,1116,2.33,9,0,7270,null,876,3.8600001,53.0,123856732
2,6,2019-06-01 23:43:11,2019-06-01 23:43:15,null,127.0.0.1,10002,1-String-C,1117,2.33,9,0,7270,null,932,3.7979999,23.0,123856942
2,7,2019-06-01 23:43:11,2019-06-01 23:43:15,null,127.0.0.1,10002,1-String-C,1118,2.33,9,0,7270,null,493,4.31,28.0,123857587
2,8,2019-06-01 23:43:11,2019-06-01 23:43:15,null,127.0.0.1,10002,1-String-C,1119,2.33,9,0,7270,null,300,4.802,26.0,123857477
2,9,2019-06-01 23:43:11,2019-06-01 23:43:15,null,127.0.0.1,10002,1-String-C,1120,2.33,9,0,7270,null,897,0.276,21.0,123857457
2,10,2019-06-01 23:43:11,2019-06-01 23:43:15,null,127.0.0.1,10002,1-String-C,1121,2.33,9,0,7270,null,530,1.6389999,40.0,123856386
3,11,2019-06-01 23:43:12,2019-06-01 23:43:20,null,127.0.0.1,10002,1-String-C,1122,2.33,9,0,7270,null,484,0.814,45.0,123856681
3,12,2019-06-01 23:43:12,2019-06-01 23:43:20,null,127.0.0.1,10002,1-String-C,1123,2.33,9,0,7270,null,792,0.208,52.0,123857875
3,13,2019-06-01 23:43:12,2019-06-01 23:43:20,null,127.0.0.1,10002,1-String-C,1124,2.33,9,0,7270,null,996,2.5609999,45.0,123855928
3,14,2019-06-01 23:43:12,2019-06-01 23:43:20,null,127.0.0.1,10002,1-String-C,1125,2.33,9,0,7270,null,708,1.12,46.0,123856979
3,15,2019-06-01 23:43:12,2019-06-01 23:43:20,null,127.0.0.1,10002,1-String-C,1126,2.33,9,0,7270,null,746,0.328,61.0,123858419
1,1,2019-06-01 23:43:50,2019-06-01 23:44:00,null,127.0.0.1,10002,1-String-C,1112,2.33,9,0,7270,null,378,3.5019999,28.0,123858437
1,2,2019-06-01 23:43:50,2019-06-01 23:44:00,null,127.0.0.1,10002,1-String-C,1113,2.33,9,0,7270,null,823,1.085,30.0,123860010
1,3,2019-06-01 23:43:50,2019-06-01 23:44:00,null,127.0.0.1,10002,1-String-C,1114,2.33,9,0,7270,null,191,1.627,25.0,123859097
1,4,2019-06-01 23:43:50,2019-06-01 23:44:00,null,127.0.0.1,10002,1-String-C,1115,2.33,9,0,7270,null,284,4.159,40.0,123858528
1,5,2019-06-01 23:43:50,2019-06-01 23:44:00,null,127.0.0.1,10002,1-String-C,1116,2.33,9,0,7270,null,609,4.722,50.0,123858364
2,6,2019-06-01 23:44:14,2019-06-01 23:44:16,null,127.0.0.1,10002,1-String-C,1117,2.33,9,0,7270,null,928,2.666,22.0,123858140
2,7,2019-06-01 23:44:14,2019-06-01 23:44:16,null,127.0.0.1,10002,1-String-C,1118,2.33,9,0,7270,null,991,1.151,22.0,123859358
2,8,2019-06-01 23:44:14,2019-06-01 23:44:16,null,127.0.0.1,10002,1-String-C,1119,2.33,9,0,7270,null,909,4.701,25.0,123858515
2,9,2019-06-01 23:44:14,2019-06-01 23:44:16,null,127.0.0.1,10002,1-String-C,1120,2.33,9,0,7270,null,73,2.318,33.0,123859097
